Index | English Source | Urdu Reference | Model Translation | BLEU-1 | BLEU-2 | BLEU-3 | BLEU-4
------------------------------------------------------------------------------------------------------------------------------------------------------
0 | they respect him | وہ اس کا احترام کرتے ہیں | وہ نے اسے دبایا | 0.1516 | 0.0000 | 0.0000 | 0.0000
1 | did you enjoy it | کیا آپ اس سے لطف اندوز ہوئے | کیا آپ نے اسے دیکھا | 0.2681 | 0.2120 | 0.0000 | 0.0000
2 | i dont want to sleep | میں سونا نہیں چاہتا | مجھے کھانا نہیں رہنا چاہیے۔ | 0.2000 | 0.0000 | 0.0000 | 0.0000
3 | i dont hate you | میں تم سے نفرت نہیں کرتا | میں تم سے نفرت نہیں کرتا | 1.0000 | 1.0000 | 1.0000 | 1.0000
4 | do what he says | وہ جو کہتا ہے کرو | وہ کیا کہتا ہے | 0.5841 | 0.3894 | 0.0000 | 0.0000
5 | talk sense | بات کرنے کا احساس | کچھ بات کرنا | 0.2388 | 0.0000 | 0.0000 | 0.0000
6 | can you lend me 10,000 yen | کیا تم مجھے ۱۰۰۰۰ ین ادھار دے سکتے ہو؟ | کیا آپ مجھے میری مدد کر سکتے ہیں | 0.3309 | 0.0000 | 0.0000 | 0.0000
7 | zain is helpless | زین بے بس ہے | زین مراقبہ کر رہا ہے | 0.4000 | 0.0000 | 0.0000 | 0.0000
8 | we were just going | ہم صرف جا رہے تھے | ہم سب جا رہے تھے | 0.8000 | 0.6325 | 0.5143 | 0.0000
9 | were exhausted | تھک گئے تھے | مصروف تھے | 0.3033 | 0.0000 | 0.0000 | 0.0000
10 | its a brainteaser | یہ ایک برین ٹیزر ہے۔ | یہ ایک تیتر ہے | 0.3894 | 0.3179 | 0.0000 | 0.0000
11 | zain blocked my way | زین نے میرا راستہ روک دیا۔ | زین نے میری گھڑی کو پکڑا۔ | 0.3333 | 0.2582 | 0.0000 | 0.0000
12 | you are obstinate | تم ضدی ہو | تم فضول ہو | 0.6667 | 0.0000 | 0.0000 | 0.0000
